           0   -7.6547892 -8.8817842e-16            0            0        7.469 
           2   -7.6547483     0.007469            0            0        7.469 
           4   -7.6547043     0.014938            0            0        7.469 
           6   -7.6547998     0.022407            0            0        7.469 
           8   -7.6561464     0.029876            0            0        7.469 
          10   -7.6561269     0.037345            0            0        7.469 
          12   -7.6561024     0.044814            0            0        7.469 
          14   -7.6560698     0.052283            0            0        7.469 
          16   -7.6560301     0.059752            0            0        7.469 
          18   -7.6560157     0.067221            0            0        7.469 
          20   -7.6562119      0.07469            0            0        7.469 
          22   -7.6562291     0.082159            0            0        7.469 
          24   -7.6562331     0.089628            0            0        7.469 
          26   -7.6562265     0.097097            0            0        7.469 
          28   -7.6562119     0.104566            0            0        7.469 
          30   -7.6561882     0.112035            0            0        7.469 
          32   -7.6561544     0.119504            0            0        7.469 
          34   -7.6561102     0.126973            0            0        7.469 
          36   -7.6560553     0.134442            0            0        7.469 
          38   -7.6559919     0.141911            0            0        7.469 
          40   -7.6559179      0.14938            0            0        7.469 
          42   -7.6558339     0.156849            0            0        7.469 
          44   -7.6557488     0.164318            0            0        7.469 
          46   -7.6556441     0.171787            0            0        7.469 
          48   -7.6555391     0.179256            0            0        7.469 
          50   -7.6554142     0.186725            0            0        7.469 
          52   -7.6552855     0.194194            0            0        7.469 
          54   -7.6551486     0.201663            0            0        7.469 
          56   -7.6555812     0.209132            0            0        7.469 
          58   -7.6554244     0.216601            0            0        7.469 
          60   -7.6552567      0.22407            0            0        7.469 
          62   -7.6550798     0.231539            0            0        7.469 
          64   -7.6548908     0.239008            0            0        7.469 
          66   -7.6546944     0.246477            0            0        7.469 
          68   -7.6544836     0.253946            0            0        7.469 
          70   -7.6542642     0.261415            0            0        7.469 
          72   -7.6540307     0.268884            0            0        7.469 
          74   -7.6537852     0.276353            0            0        7.469 
          76   -7.6535284     0.283822            0            0        7.469 
          78    -7.653261     0.291291            0            0        7.469 
          80   -7.6529834      0.29876            0            0        7.469 
          82   -7.6526933     0.306229            0            0        7.469 
          84   -7.6523915     0.313698            0            0        7.469 
          86   -7.6520755     0.321167            0            0        7.469 
          88   -7.6517495     0.328636            0            0        7.469 
          90   -7.6514136     0.336105            0            0        7.469 
          92   -7.6510609     0.343574            0            0        7.469 
          94   -7.6507003     0.351043            0            0        7.469 
          96   -7.6503239     0.358512            0            0        7.469 
          98   -7.6499377     0.365981            0            0        7.469 
         100   -7.6495379      0.37345            0            0        7.469 
         102   -7.6491318     0.380919            0            0        7.469 
         104   -7.6487119     0.388388            0            0        7.469 
         106   -7.6482783     0.395857            0            0        7.469 
         108   -7.6478305     0.403326            0            0        7.469 
         110   -7.6473755     0.410795            0            0        7.469 
         112   -7.6469068     0.418264            0            0        7.469 
         114   -7.6464282     0.425733            0            0        7.469 
         116   -7.6459333     0.433202            0            0        7.469 
         118   -7.6454305     0.440671            0            0        7.469 
         120   -7.6449167      0.44814            0            0        7.469 
         122   -7.6443897     0.455609            0            0        7.469 
         124   -7.6438505     0.463078            0            0        7.469 
         126   -7.6433007     0.470547            0            0        7.469 
         128   -7.6427438     0.478016            0            0        7.469 
         130   -7.6421711     0.485485            0            0        7.469 
         132   -7.6415911     0.492954            0            0        7.469 
         134   -7.6409986     0.500423            0            0        7.469 
         136    -7.640393     0.507892            0            0        7.469 
         138   -7.6397788     0.515361            0            0        7.469 
         140    -7.639152      0.52283            0            0        7.469 
         142    -7.638526     0.530299            0            0        7.469 
         144   -7.6378862     0.537768            0            0        7.469 
         146   -7.6372425     0.545237            0            0        7.469 
         148   -7.6365916     0.552706            0            0        7.469 
         150   -7.6421086     0.560175            0            0        7.469 
         152   -7.6416314     0.567644            0            0        7.469 
         154   -7.6411375     0.575113            0            0        7.469 
         156   -7.6412481     0.582582            0            0        7.469 
         158   -7.6408625     0.590051            0            0        7.469 
         160    -7.640514      0.59752            0            0        7.469 
         162   -7.6401204     0.604989            0            0        7.469 
         164   -7.6397261     0.612458            0            0        7.469 
         166   -7.6393293     0.619927            0            0        7.469 
         168   -7.6389132     0.627396            0            0        7.469 
         170   -7.6384851     0.634865            0            0        7.469 
         172   -7.6380449     0.642334            0            0        7.469 
         174   -7.6375943     0.649803            0            0        7.469 
         176   -7.6371311     0.657272            0            0        7.469 
         178   -7.6366637     0.664741            0            0        7.469 
         180   -7.6361729      0.67221            0            0        7.469 
         182   -7.6356797     0.679679            0            0        7.469 
         184    -7.635168     0.687148            0            0        7.469 
         186   -7.6346479     0.694617            0            0        7.469 
         188   -7.6341149     0.702086            0            0        7.469 
         190   -7.6335668     0.709555            0            0        7.469 
         192   -7.6330075     0.717024            0            0        7.469 
         194   -7.6324358     0.724493            0            0        7.469 
         196   -7.6318496     0.731962            0            0        7.469 
         198   -7.6312519     0.739431            0            0        7.469 
         200   -7.6306438       0.7469            0            0        7.469 
         202   -7.6300281     0.754369            0            0        7.469 
         204   -7.6293945     0.761838            0            0        7.469 
         206    -7.628753     0.769307            0            0        7.469 
         208   -7.6281578     0.776776            0            0        7.469 
         210   -7.6275021     0.784245            0            0        7.469 
         212   -7.6268394     0.791714            0            0        7.469 
         214   -7.6261544     0.799183            0            0        7.469 
         216   -7.6254569     0.806652            0            0        7.469 
         218   -7.6247485     0.814121            0            0        7.469 
         220   -7.6240264      0.82159            0            0        7.469 
         222   -7.6232861     0.829059            0            0        7.469 
         224   -7.6225438     0.836528            0            0        7.469 
         226   -7.6217917     0.843997            0            0        7.469 
         228   -7.6210738     0.851466            0            0        7.469 
         230   -7.6203167     0.858935            0            0        7.469 
         232   -7.6195405     0.866404            0            0        7.469 
         234   -7.6187539     0.873873            0            0        7.469 
         236   -7.6179632     0.881342            0            0        7.469 
         238   -7.6171586     0.888811            0            0        7.469 
         240   -7.6163417      0.89628            0            0        7.469 
         242   -7.6155069     0.903749            0            0        7.469 
         244   -7.6146698     0.911218            0            0        7.469 
         246   -7.6138144     0.918687            0            0        7.469 
         248   -7.6129553     0.926156            0            0        7.469 
         250   -7.6120781     0.933625            0            0        7.469 
         252   -7.6254166     0.941094            0            0        7.469 
         254   -7.6246708     0.948563            0            0        7.469 
         256    -7.623925     0.956032            0            0        7.469 
         258   -7.6231765     0.963501            0            0        7.469 
         260   -7.6224265      0.97097            0            0        7.469 
         262   -7.6216443     0.978439            0            0        7.469 
         264   -7.6208537     0.985908            0            0        7.469 
         266   -7.6200509     0.993377            0            0        7.469 
         268    -7.619231     1.000846            0            0        7.469 
         270   -7.6184061     1.008315            0            0        7.469 
         272   -7.6175686     1.015784            0            0        7.469 
         274   -7.6167315     1.023253            0            0        7.469 
         276   -7.6159841     1.030722            0            0        7.469 
         278   -7.6151366     1.038191            0            0        7.469 
         280   -7.6142742      1.04566            0            0        7.469 
         282    -7.613418     1.053129            0            0        7.469 
         284   -7.6125378     1.060598            0            0        7.469 
         286   -7.6116588     1.068067            0            0        7.469 
         288   -7.6107688     1.075536            0            0        7.469 
         290   -7.6098651     1.083005            0            0        7.469 
         292   -7.6089598     1.090474            0            0        7.469 
         294    -7.608049     1.097943            0            0        7.469 
         296    -7.607438     1.105412            0            0        7.469 
         298   -7.6065421     1.112881            0            0        7.469 
         300   -7.6056244      1.12035            0            0        7.469 
         302   -7.6065508     1.112881            0            0        7.469 
         304   -7.6074584     1.105412            0            0        7.469 
         306   -7.6083594     1.097943            0            0        7.469 
         308   -7.6092552     1.090474            0            0        7.469 
         310   -7.6101437     1.083005            0            0        7.469 
         312   -7.6110292     1.075536            0            0        7.469 
         314   -7.6119023     1.068067            0            0        7.469 
         316   -7.6127737     1.060598            0            0        7.469 
         318   -7.6136648     1.053129            0            0        7.469 
         320   -7.6145243      1.04566            0            0        7.469 
         322    -7.615373     1.038191            0            0        7.469 
         324   -7.6162108     1.030722            0            0        7.469 
         326   -7.6170405     1.023253            0            0        7.469 
         328   -7.6178569     1.015784            0            0        7.469 
         330   -7.6186682     1.008315            0            0        7.469 
         332   -7.6194686     1.000846            0            0        7.469 
         334   -7.6202633     0.993377            0            0        7.469 
         336   -7.6210446     0.985908            0            0        7.469 
         338   -7.6218177     0.978439            0            0        7.469 
         340   -7.6225776      0.97097            0            0        7.469 
         342   -7.6233255     0.963501            0            0        7.469 
