           0   -7.6547892 -8.8817842e-16            0            0        7.469 
           2   -7.6547601     0.007469            0            0        7.469 
           4   -7.6548384     0.014938            0            0        7.469 
           6   -7.6561653     0.022407            0            0        7.469 
           8   -7.6561589     0.029876            0            0        7.469 
          10   -7.6561436     0.037345            0            0        7.469 
          12   -7.6561202     0.044814            0            0        7.469 
          14    -7.656088     0.052283            0            0        7.469 
          16   -7.6560687     0.059752            0            0        7.469 
          18   -7.6562096     0.067221            0            0        7.469 
          20   -7.6562326      0.07469            0            0        7.469 
          22   -7.6562466     0.082159            0            0        7.469 
          24     -7.65625     0.089628            0            0        7.469 
          26   -7.6562446     0.097097            0            0        7.469 
          28   -7.6562303     0.104566            0            0        7.469 
          30   -7.6562055     0.112035            0            0        7.469 
          32   -7.6561707     0.119504            0            0        7.469 
          34   -7.6561267     0.126973            0            0        7.469 
          36   -7.6560723     0.134442            0            0        7.469 
          38   -7.6560078     0.141911            0            0        7.469 
          40   -7.6559346      0.14938            0            0        7.469 
          42   -7.6558572     0.156849            0            0        7.469 
          44   -7.6557638     0.164318            0            0        7.469 
          46    -7.655666     0.171787            0            0        7.469 
          48    -7.655553     0.179256            0            0        7.469 
          50   -7.6554331     0.186725            0            0        7.469 
          52   -7.6553049     0.194194            0            0        7.469 
          54   -7.6557375     0.201663            0            0        7.469 
          56   -7.6555942     0.209132            0            0        7.469 
          58   -7.6554387     0.216601            0            0        7.469 
          60   -7.6552724      0.22407            0            0        7.469 
          62   -7.6550945     0.231539            0            0        7.469 
          64   -7.6549081     0.239008            0            0        7.469 
          66   -7.6547091     0.246477            0            0        7.469 
          68   -7.6544997     0.253946            0            0        7.469 
          70   -7.6542784     0.261415            0            0        7.469 
          72   -7.6540448     0.268884            0            0        7.469 
          74      -7.6538     0.276353            0            0        7.469 
          76   -7.6535437     0.283822            0            0        7.469 
          78   -7.6532772     0.291291            0            0        7.469 
          80   -7.6529991      0.29876            0            0        7.469 
          82   -7.6527087     0.306229            0            0        7.469 
          84   -7.6524055     0.313698            0            0        7.469 
          86    -7.652091     0.321167            0            0        7.469 
          88   -7.6517661     0.328636            0            0        7.469 
          90   -7.6514265     0.336105            0            0        7.469 
          92   -7.6510766     0.343574            0            0        7.469 
          94    -7.650713     0.351043            0            0        7.469 
          96   -7.6503382     0.358512            0            0        7.469 
          98   -7.6499507     0.365981            0            0        7.469 
         100   -7.6495542      0.37345            0            0        7.469 
         102    -7.649146     0.380919            0            0        7.469 
         104   -7.6487248     0.388388            0            0        7.469 
         106   -7.6482907     0.395857            0            0        7.469 
         108   -7.6478464     0.403326            0            0        7.469 
         110   -7.6473903     0.410795            0            0        7.469 
         112   -7.6469219     0.418264            0            0        7.469 
         114   -7.6464408     0.425733            0            0        7.469 
         116    -7.645949     0.433202            0            0        7.469 
         118   -7.6454461     0.440671            0            0        7.469 
         120   -7.6449312      0.44814            0            0        7.469 
         122   -7.6444042     0.455609            0            0        7.469 
         124    -7.643866     0.463078            0            0        7.469 
         126   -7.6433182     0.470547            0            0        7.469 
         128   -7.6427578     0.478016            0            0        7.469 
         130   -7.6421874     0.485485            0            0        7.469 
         132   -7.6416055     0.492954            0            0        7.469 
         134   -7.6410116     0.500423            0            0        7.469 
         136   -7.6404083     0.507892            0            0        7.469 
         138   -7.6397933     0.515361            0            0        7.469 
         140   -7.6391737      0.52283            0            0        7.469 
         142   -7.6385436     0.530299            0            0        7.469 
         144   -7.6379071     0.537768            0            0        7.469 
         146   -7.6372636     0.545237            0            0        7.469 
         148   -7.6425934     0.552706            0            0        7.469 
         150   -7.6421271     0.560175            0            0        7.469 
         152   -7.6416456     0.567644            0            0        7.469 
         154   -7.6416854     0.575113            0            0        7.469 
         156   -7.6412972     0.582582            0            0        7.469 
         158   -7.6409323     0.590051            0            0        7.469 
         160   -7.6405417      0.59752            0            0        7.469 
         162    -7.640151     0.604989            0            0        7.469 
         164   -7.6397555     0.612458            0            0        7.469 
         166   -7.6393487     0.619927            0            0        7.469 
         168   -7.6389306     0.627396            0            0        7.469 
         170   -7.6385018     0.634865            0            0        7.469 
         172   -7.6380611     0.642334            0            0        7.469 
         174   -7.6376098     0.649803            0            0        7.469 
         176   -7.6371516     0.657272            0            0        7.469 
         178    -7.636676     0.664741            0            0        7.469 
         180   -7.6361919      0.67221            0            0        7.469 
         182   -7.6356932     0.679679            0            0        7.469 
         184   -7.6351843     0.687148            0            0        7.469 
         186   -7.6346627     0.694617            0            0        7.469 
         188   -7.6341279     0.702086            0            0        7.469 
         190   -7.6335804     0.709555            0            0        7.469 
         192   -7.6330204     0.717024            0            0        7.469 
         194   -7.6324482     0.724493            0            0        7.469 
         196   -7.6318635     0.731962            0            0        7.469 
         198   -7.6312673     0.739431            0            0        7.469 
         200   -7.6306621       0.7469            0            0        7.469 
         202   -7.6312709     0.739431            0            0        7.469 
         204   -7.6318662     0.731962            0            0        7.469 
         206   -7.6324486     0.724493            0            0        7.469 
         208   -7.6330193     0.717024            0            0        7.469 
         210   -7.6335795     0.709555            0            0        7.469 
         212   -7.6341282     0.702086            0            0        7.469 
         214   -7.6346626     0.694617            0            0        7.469 
         216   -7.6351848     0.687148            0            0        7.469 
         218   -7.6356943     0.679679            0            0        7.469 
         220   -7.6361926      0.67221            0            0        7.469 
         222   -7.6366781     0.664741            0            0        7.469 
         224   -7.6371505     0.657272            0            0        7.469 
         226   -7.6376107     0.649803            0            0        7.469 
         228   -7.6380615     0.642334            0            0        7.469 
         230   -7.6384998     0.634865            0            0        7.469 
         232   -7.6389283     0.627396            0            0        7.469 
         234   -7.6393468     0.619927            0            0        7.469 
         236   -7.6397565     0.612458            0            0        7.469 
         238   -7.6401561     0.604989            0            0        7.469 
         240   -7.6405427      0.59752            0            0        7.469 
         242   -7.6409271     0.590051            0            0        7.469 
         244   -7.6413165     0.582582            0            0        7.469 
         246   -7.6417033     0.575113            0            0        7.469 
         248   -7.6420943     0.567644            0            0        7.469 
         250      -7.6425     0.560175            0            0        7.469 
         252   -7.6428906     0.552706            0            0        7.469 
         254   -7.6432686     0.545237            0            0        7.469 
         256   -7.6436418     0.537768            0            0        7.469 
         258   -7.6440024     0.530299            0            0        7.469 
         260   -7.6443541      0.52283            0            0        7.469 
         262    -7.644698     0.515361            0            0        7.469 
         264   -7.6450391     0.507892            0            0        7.469 
         266   -7.6453684     0.500423            0            0        7.469 
         268    -7.645692     0.492954            0            0        7.469 
         270   -7.6461143     0.485485            0            0        7.469 
         272   -7.6464512     0.478016            0            0        7.469 
         274    -7.646779     0.470547            0            0        7.469 
         276   -7.6470997     0.463078            0            0        7.469 
         278   -7.6474216     0.455609            0            0        7.469 
         280    -7.647842      0.44814            0            0        7.469 
         282   -7.6481552     0.440671            0            0        7.469 
         284   -7.6484614     0.433202            0            0        7.469 
         286   -7.6487557     0.425733            0            0        7.469 
         288   -7.6490412     0.418264            0            0        7.469 
         290   -7.6493211     0.410795            0            0        7.469 
         292   -7.6495948     0.403326            0            0        7.469 
         294    -7.650117     0.395857            0            0        7.469 
         296   -7.6503717     0.388388            0            0        7.469 
         298    -7.650617     0.380919            0            0        7.469 
         300   -7.6508533      0.37345            0            0        7.469 
         302   -7.6510789     0.365981            0            0        7.469 
         304   -7.6512951     0.358512            0            0        7.469 
         306   -7.6515054     0.351043            0            0        7.469 
         308   -7.6517051     0.343574            0            0        7.469 
         310   -7.6518972     0.336105            0            0        7.469 
         312   -7.6520853     0.328636            0            0        7.469 
         314   -7.6522663     0.321167            0            0        7.469 
         316   -7.6524468     0.313698            0            0        7.469 
         318   -7.6533588     0.306229            0            0        7.469 
         320   -7.6535395      0.29876            0            0        7.469 
         322   -7.6537114     0.291291            0            0        7.469 
         324   -7.6548294     0.283822            0            0        7.469 
         326   -7.6550041     0.276353            0            0        7.469 
         328   -7.6551686     0.268884            0            0        7.469 
         330   -7.6553191     0.261415            0            0        7.469 
         332   -7.6554592     0.253946            0            0        7.469 
         334   -7.6555858     0.246477            0            0        7.469 
         336    -7.655702     0.239008            0            0        7.469 
         338   -7.6558082     0.231539            0            0        7.469 
         340   -7.6559015      0.22407            0            0        7.469 
         342   -7.6559868     0.216601            0            0        7.469 
         344   -7.6560606     0.209132            0            0        7.469 
         346   -7.6561345     0.201663            0            0        7.469 
         348   -7.6562624     0.194194            0            0        7.469 
         350   -7.6563373     0.186725            0            0        7.469 
         352   -7.6564127     0.179256            0            0        7.469 
         354   -7.6564742     0.171787            0            0        7.469 
         356   -7.6565319     0.164318            0            0        7.469 
         358   -7.6565811     0.156849            0            0        7.469 
         360    -7.656625      0.14938            0            0        7.469 
         362   -7.6566575     0.141911            0            0        7.469 
         364   -7.6566792     0.134442            0            0        7.469 
         366   -7.6567021     0.126973            0            0        7.469 
         368   -7.6567095     0.119504            0            0        7.469 
         370   -7.6567034     0.112035            0            0        7.469 
         372   -7.6566916     0.104566            0            0        7.469 
         374   -7.6566693     0.097097            0            0        7.469 
         376   -7.6566388     0.089628            0            0        7.469 
         378   -7.6565919     0.082159            0            0        7.469 
         380   -7.6565376      0.07469            0            0        7.469 
         382   -7.6564692     0.067221            0            0        7.469 
         384   -7.6563911     0.059752            0            0        7.469 
         386   -7.6562999     0.052283            0            0        7.469 
         388   -7.6561941     0.044814            0            0        7.469 
         390   -7.6560829     0.037345            0            0        7.469 
         392   -7.6559721     0.029876            0            0        7.469 
         394   -7.6558468     0.022407            0            0        7.469 
         396   -7.6557101     0.014938            0            0        7.469 
         398   -7.6555606     0.007469            0            0        7.469 
         400   -7.6554047 -8.8817842e-16            0            0        7.469 
         400   -7.6554048 -8.8817842e-16            0            0        7.469 
         402   -7.6552756    -0.007469            0            0        7.469 
         404   -7.6551079    -0.014938            0            0        7.469 
         406   -7.6549315    -0.022407            0            0        7.469 
         408   -7.6548423    -0.029876            0            0        7.469 
         410    -7.654695    -0.037345            0            0        7.469 
         412   -7.6545569    -0.044814            0            0        7.469 
         414   -7.6544005    -0.052283            0            0        7.469 
         416   -7.6544242    -0.059752            0            0        7.469 
