           0   -7.5406676 -8.8817842e-16            0            0        7.469 
           2   -7.5396182     0.007469            0            0        7.469 
           4    -7.538559     0.014938            0            0        7.469 
           6   -7.5374886     0.022407            0            0        7.469 
           8   -7.5364087     0.029876            0            0        7.469 
          10   -7.5353218     0.037345            0            0        7.469 
          12   -7.5342268     0.044814            0            0        7.469 
          14   -7.5331214     0.052283            0            0        7.469 
          16   -7.5320048     0.059752            0            0        7.469 
          18   -7.5308804     0.067221            0            0        7.469 
          20   -7.5297506      0.07469            0            0        7.469 
          22   -7.5286123     0.082159            0            0        7.469 
          24   -7.5274685     0.089628            0            0        7.469 
          26   -7.5263263     0.097097            0            0        7.469 
          28   -7.5251654     0.104566            0            0        7.469 
          30   -7.5240233     0.112035            0            0        7.469 
          32   -7.5608703     0.119504            0            0        7.469 
          34   -7.5603612     0.126973            0            0        7.469 
          36   -7.5598798     0.134442            0            0        7.469 
          38     -7.55935     0.141911            0            0        7.469 
          40   -7.5588057      0.14938            0            0        7.469 
          42   -7.5582503     0.156849            0            0        7.469 
          44   -7.5576843     0.164318            0            0        7.469 
          46   -7.5571101     0.171787            0            0        7.469 
          48   -7.5612798     0.179256            0            0        7.469 
          50   -7.5607901     0.186725            0            0        7.469 
          52    -7.560444     0.194194            0            0        7.469 
          54   -7.5599607     0.201663            0            0        7.469 
          56   -7.5594631     0.209132            0            0        7.469 
          58   -7.5589508     0.216601            0            0        7.469 
          60   -7.5584453      0.22407            0            0        7.469 
          62     -7.55791     0.231539            0            0        7.469 
          64   -7.5573614     0.239008            0            0        7.469 
          66   -7.5567972     0.246477            0            0        7.469 
          68   -7.5562254     0.253946            0            0        7.469 
          70   -7.5556397     0.261415            0            0        7.469 
          72   -7.5550353     0.268884            0            0        7.469 
          74   -7.5544204     0.276353            0            0        7.469 
          76   -7.5537959     0.283822            0            0        7.469 
          78    -7.553155     0.291291            0            0        7.469 
          80    -7.552529      0.29876            0            0        7.469 
          82   -7.5518804     0.306229            0            0        7.469 
          84    -7.551218     0.313698            0            0        7.469 
          86   -7.5641257     0.321167            0            0        7.469 
          88   -7.5636051     0.328636            0            0        7.469 
          90   -7.5630677     0.336105            0            0        7.469 
          92   -7.5625139     0.343574            0            0        7.469 
          94   -7.5619432     0.351043            0            0        7.469 
          96   -7.5613567     0.358512            0            0        7.469 
          98   -7.5607547     0.365981            0            0        7.469 
         100   -7.5601352      0.37345            0            0        7.469 
         102   -7.5595021     0.380919            0            0        7.469 
         104   -7.5588507     0.388388            0            0        7.469 
         106   -7.5581847     0.395857            0            0        7.469 
         108   -7.5575024     0.403326            0            0        7.469 
         110   -7.5568061     0.410795            0            0        7.469 
         112   -7.5560936     0.418264            0            0        7.469 
         114   -7.5553658     0.425733            0            0        7.469 
         116   -7.5546249     0.433202            0            0        7.469 
         118   -7.5538703     0.440671            0            0        7.469 
         120   -7.5531002      0.44814            0            0        7.469 
         122   -7.5523211     0.455609            0            0        7.469 
         124   -7.5515296     0.463078            0            0        7.469 
         126   -7.5910654     0.470547            0            0        7.469 
         128   -7.5907166     0.478016            0            0        7.469 
         130    -7.590352     0.485485            0            0        7.469 
         132   -7.5899764     0.492954            0            0        7.469 
         134   -7.5895816     0.500423            0            0        7.469 
         136   -7.5891736     0.507892            0            0        7.469 
         138   -7.5887492     0.515361            0            0        7.469 
         140   -7.5883093      0.52283            0            0        7.469 
         142   -7.5878538     0.530299            0            0        7.469 
